Localidade da Escola,País,Região,UF,Município,Matrículas,Etapa de Ensino,Etapa de Ensino - Ordenação,Etapa de Ensino - Superior,Etapa de Ensino - Superior - Ordenação
Brasil,Brasil,,,,11504123,Anos Finais,202,Ensino Fundamental,2
Brasil,Brasil,,,,14498233,Anos Iniciais,201,Ensino Fundamental,2
Brasil,Brasil,,,,4187691,Creche,101,Educação Infantil,1
Brasil,Brasil,,,,985923,Curso Técnico Integrado,303,Ensino Médio,3
Brasil,Brasil,,,,47088922,Educação Básica,0,Total Geral,0
Brasil,Brasil,,,,1414929,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Brasil,Brasil,,,,976390,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Brasil,Brasil,,,,37371,Normal/Magistério,302,Ensino Médio,3
Brasil,Brasil,,,,186839,Não Técnica,402,Educação Profissional,4
Brasil,Brasil,,,,6767102,Propedêutico,301,Ensino Médio,3
Brasil,Brasil,,,,5304203,Pré-escola,102,Educação Infantil,1
Brasil,Brasil,,,,9491894,Total de Educação Infantil,100,Educação Infantil,1
Brasil,Brasil,,,,2576293,Total de Educação Profissional,400,Educação Profissional,4
Brasil,Brasil,,,,2391319,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Brasil,Brasil,,,,26002356,Total de Ensino Fundamental,200,Ensino Fundamental,2
Brasil,Brasil,,,,7790396,Total de Ensino Médio,300,Ensino Médio,3
Brasil,Brasil,,,,2389454,Técnica,401,Educação Profissional,4
Centro-Oeste,Brasil,Centro-Oeste,,,925787,Anos Finais,202,Ensino Fundamental,2
Centro-Oeste,Brasil,Centro-Oeste,,,1225919,Anos Iniciais,201,Ensino Fundamental,2
Centro-Oeste,Brasil,Centro-Oeste,,,300644,Creche,101,Educação Infantil,1
Centro-Oeste,Brasil,Centro-Oeste,,,33822,Curso Técnico Integrado,303,Ensino Médio,3
Centro-Oeste,Brasil,Centro-Oeste,,,3757820,Educação Básica,0,Total Geral,0
Centro-Oeste,Brasil,Centro-Oeste,,,56389,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Centro-Oeste,Brasil,Centro-Oeste,,,71023,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Centro-Oeste,Brasil,Centro-Oeste,,,778,Normal/Magistério,302,Ensino Médio,3
Centro-Oeste,Brasil,Centro-Oeste,,,75015,Não Técnica,402,Educação Profissional,4
Centro-Oeste,Brasil,Centro-Oeste,,,556662,Propedêutico,301,Ensino Médio,3
Centro-Oeste,Brasil,Centro-Oeste,,,441835,Pré-escola,102,Educação Infantil,1
Centro-Oeste,Brasil,Centro-Oeste,,,742479,Total de Educação Infantil,100,Educação Infantil,1
Centro-Oeste,Brasil,Centro-Oeste,,,185478,Total de Educação Profissional,400,Educação Profissional,4
Centro-Oeste,Brasil,Centro-Oeste,,,127412,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Centro-Oeste,Brasil,Centro-Oeste,,,2151706,Total de Ensino Fundamental,200,Ensino Fundamental,2
Centro-Oeste,Brasil,Centro-Oeste,,,591262,Total de Ensino Médio,300,Ensino Médio,3
Centro-Oeste,Brasil,Centro-Oeste,,,110463,Técnica,401,Educação Profissional,4
Nordeste,Brasil,Nordeste,,,3302845,Anos Finais,202,Ensino Fundamental,2
Nordeste,Brasil,Nordeste,,,4033419,Anos Iniciais,201,Ensino Fundamental,2
Nordeste,Brasil,Nordeste,,,1036807,Creche,101,Educação Infantil,1
Nordeste,Brasil,Nordeste,,,379710,Curso Técnico Integrado,303,Ensino Médio,3
Nordeste,Brasil,Nordeste,,,13474803,Educação Básica,0,Total Geral,0
Nordeste,Brasil,Nordeste,,,826953,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Nordeste,Brasil,Nordeste,,,374216,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Nordeste,Brasil,Nordeste,,,5335,Normal/Magistério,302,Ensino Médio,3
Nordeste,Brasil,Nordeste,,,73493,Não Técnica,402,Educação Profissional,4
Nordeste,Brasil,Nordeste,,,1736428,Propedêutico,301,Ensino Médio,3
Nordeste,Brasil,Nordeste,,,1482102,Pré-escola,102,Educação Infantil,1
Nordeste,Brasil,Nordeste,,,2518909,Total de Educação Infantil,100,Educação Infantil,1
Nordeste,Brasil,Nordeste,,,797942,Total de Educação Profissional,400,Educação Profissional,4
Nordeste,Brasil,Nordeste,,,1201169,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Nordeste,Brasil,Nordeste,,,7336264,Total de Ensino Fundamental,200,Ensino Fundamental,2
Nordeste,Brasil,Nordeste,,,2121473,Total de Ensino Médio,300,Ensino Médio,3
Nordeste,Brasil,Nordeste,,,724449,Técnica,401,Educação Profissional,4
Norte,Brasil,Norte,,,1248804,Anos Finais,202,Ensino Fundamental,2
Norte,Brasil,Norte,,,1574107,Anos Iniciais,201,Ensino Fundamental,2
Norte,Brasil,Norte,,,243882,Creche,101,Educação Infantil,1
Norte,Brasil,Norte,,,45399,Curso Técnico Integrado,303,Ensino Médio,3
Norte,Brasil,Norte,,,4777569,Educação Básica,0,Total Geral,0
Norte,Brasil,Norte,,,157698,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Norte,Brasil,Norte,,,117367,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Norte,Brasil,Norte,,,408,Normal/Magistério,302,Ensino Médio,3
Norte,Brasil,Norte,,,5633,Não Técnica,402,Educação Profissional,4
Norte,Brasil,Norte,,,742208,Propedêutico,301,Ensino Médio,3
Norte,Brasil,Norte,,,546606,Pré-escola,102,Educação Infantil,1
Norte,Brasil,Norte,,,790488,Total de Educação Infantil,100,Educação Infantil,1
Norte,Brasil,Norte,,,151587,Total de Educação Profissional,400,Educação Profissional,4
Norte,Brasil,Norte,,,275065,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Norte,Brasil,Norte,,,2822911,Total de Ensino Fundamental,200,Ensino Fundamental,2
Norte,Brasil,Norte,,,788015,Total de Ensino Médio,300,Ensino Médio,3
Norte,Brasil,Norte,,,145954,Técnica,401,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,4478789,Anos Finais,202,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,5623340,Anos Iniciais,201,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,1918276,Creche,101,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,366477,Curso Técnico Integrado,303,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,18583214,Educação Básica,0,Total Geral,0
Sudeste,Brasil,Sudeste,,,259845,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,321271,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,18312,Normal/Magistério,302,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,13503,Não Técnica,402,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,2884304,Propedêutico,301,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,2074085,Pré-escola,102,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,3992361,Total de Educação Infantil,100,Educação Infantil,1
Sudeste,Brasil,Sudeste,,,1030183,Total de Educação Profissional,400,Educação Profissional,4
Sudeste,Brasil,Sudeste,,,581116,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Sudeste,Brasil,Sudeste,,,10102129,Total de Ensino Fundamental,200,Ensino Fundamental,2
Sudeste,Brasil,Sudeste,,,3269093,Total de Ensino Médio,300,Ensino Médio,3
Sudeste,Brasil,Sudeste,,,1016680,Técnica,401,Educação Profissional,4
Sul,Brasil,Sul,,,1547898,Anos Finais,202,Ensino Fundamental,2
Sul,Brasil,Sul,,,2041448,Anos Iniciais,201,Ensino Fundamental,2
Sul,Brasil,Sul,,,688082,Creche,101,Educação Infantil,1
Sul,Brasil,Sul,,,160515,Curso Técnico Integrado,303,Ensino Médio,3
Sul,Brasil,Sul,,,6495516,Educação Básica,0,Total Geral,0
Sul,Brasil,Sul,,,114044,Ensino Fundamental,501,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,92513,Ensino Médio,502,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,12538,Normal/Magistério,302,Ensino Médio,3
Sul,Brasil,Sul,,,19195,Não Técnica,402,Educação Profissional,4
Sul,Brasil,Sul,,,847500,Propedêutico,301,Ensino Médio,3
Sul,Brasil,Sul,,,759575,Pré-escola,102,Educação Infantil,1
Sul,Brasil,Sul,,,1447657,Total de Educação Infantil,100,Educação Infantil,1
Sul,Brasil,Sul,,,411103,Total de Educação Profissional,400,Educação Profissional,4
Sul,Brasil,Sul,,,206557,Total de Educação de Jovens e Adultos - EJA,500,Educação de Jovens e Adultos - EJA,5
Sul,Brasil,Sul,,,3589346,Total de Ensino Fundamental,200,Ensino Fundamental,2
Sul,Brasil,Sul,,,1020553,Total de Ensino Médio,300,Ensino Médio,3
Sul,Brasil,Sul,,,391908,Técnica,401,Educação Profissional,4